name,domain,location,tagline,investors
1kommas,,Germany,Solar panel system provider,['g2vp']
= «xfarm,,Italy,Superapp for farmers,['partech']
abatable,https://www.abatable.com/,United Kingdom,Carbon procurement / market intelligence,['azora capital']
abbe-mobility,,Switzerland,EV charging solutions,['various']
accure,,Germany,Battery analytics software,['incharge capital']
actility,,France,Low-power IloT connectivity solutions,['various']
aedifion,https://www.aedifion.com/,Germany,Environment cloud management platform,['world fund']
aerones,https://www.aerones.com/,Latvia,Wind turbine maintenance and inspection,"['lightrock', ' haniel']"
,https://monta.app/,,,energize ventures
again,https://monta.app/,Denmark,Turning CO2 into carbon negative chemicals,energize ventures
agemia,,France,AI-enabled drug discovery,['cathay innovation']
agreena,,Denmark,Soil Carbon platform,['hv capital']
agricarbon,,United Kingdom,Soil carbon removals,['shell ventures']
aily labs,,Germany,AI-powered decision intelligence app,['insight partners']
aira,,Sweden,Clean energy-based heating solutions,['various']
airforestry,,Sweden,Aerial tree harvesting technology,['northzone']
aisti,,Finland,Sustainable acoustic tiles,['various']
alcemy,,Germany,Quality control for cement production,['galvanize climate solutions']
allotrope energy,,United Kingdom,Fast-charging batteries from tree pulp,['suzano ventures']
altilium,,United Kingdom,Manufacturer of cathode and anode materials,['sqm lithium ventures']
ambos energy,,France,Battery energy storage systems,"['bpifrance', ' eurazeo']"
ampeco,,Bulgaria,EV charging management platform,['bmv ventures']
angsa robotics,,Germany,Automated waste collection,['husqvarna ventures']
anybotics,,Switzerland,AI-driven robotic inspection solutions,"[' supernova invest', 'qualcomm ventures']"
aquabattery,,Netherlands,Long duration energy storage,['various']
arabesque,,UK,Corporate ESG data platform,['energy impact partners']
arguseye,,Sweden,Sensor for monitoring of biological systems,['voima ventures']
ark capture solutions,,Belgium,Carbon capture technology,['various']
artem,,Switzerland,CBAM compliance,['vireo ventures']
assetfloow,,Portugal,Digital twins for retailers,['ged ventures']
astral systems,https://www.astralsystems.com/,United Kingdom,Compact fusion reactor developer,"['playfair capital', ' speedinvest']"
atinary,,Switzerland,Materials discovery,['agfunder']
atlas metrics,,Germany,ESG data management platform,"['b2venture', ' cherry ventures']"
atmio,https://atmio.com/,Germany,Methane detection and remediation system,['notion capital']
attilium metals,,United Kingdom,EV battery recycling plant,['various']
aviant,,Norway,Drone logistics,['various']
axelera ai,https://axelera.ai/,Netherlands,Solutions for AI at the Edge,['various']
axle energy,https://monta.app/,United Kingdom,Decarbonising power grid,energize ventures
ayora technologies,,United Kingdom,AI-powered revenue decision making,"[' twin path ventures', 'j12']"
baseload capital,,Sweden,Geothermal development,['engf']
batene,,Germany,Battery technology,['ocean zero']
befc,,France,Bioenzymatic fuel cells,['otium capital']
besirius,,Netherlands,Sustainability intel platform for heavy industries,['nap']
bezero carbon,,UK,Carbon offset ratings platform,['quantum energy partners']
bforeal,,France,Predictive cybersecurity platform,['titanium ventures']
bio-logical,,UK,Biochar carbon removal,['various']
bisly,,Estonia,Energy-efficient building automation,['aconterra']
bling energy,,Portugal,Solar panel subscription model,['joaquim sérvulo rodrigues']
blixt,https://blixt.tech/,Sweden,Software-defined power system for electricity sector,['usv']
blue world,,Denmark,Methanol fuel cell components,['deutz ag']
boondmanager,https://boondmanager.com/,France,"SaaS platform for IT services, consulting & engineering firms",['expedition growth capital']
breathe,,United Kingdom,Battery optimisation software,['lowercarbon capital']
buddywise,,Sweden,Real-time risk detection for workplace safety,"['12', ' kvanted']"
build to zero,,Spain,Thermal energy storage solution,"['axon partners', ' digital 5 investment']"
buynomics,,Germany,AI-powered pricing and revenue optimization,['forestay capital']
byterat,,United Kingdom,Battery R&D platform,['various']
c1 green chemicals,,Germany,Green methanol technology,['denkapparat']
cactos,https://www.cactos.com/,Finland,Battery energy storage system,"['superhero capital', 'op finland infrastructure']"
caeli wind,,Germany,Digital platform for wind energy sites,['notion capital']
camion,,United Kingdom,EV charging intelligence & analytics,['eqt ventures']
capalo ai,,Finland,AI-powered energy storage optimisation,"[' venturefriends', 'profounders']"
carbmee,,Germany,Carbon mission reporting,['commerzventures']
carbo culture,,Finland,Carbon removal tech,"['genzero', ' true ventures', ' tesi']"
carbon maps,,France,Climate tech for food industry,"['breega', ' samaipata']"
carbon re,,UK,Cement and steel decarbonisation,['planet a ventures']
carbonable,,France,Carbon credit funding & mgmt,['ethereal ventures']
carbonchain,,UK,Carbon accounting platform,"[' voyager ventures', 'usv']"
carbonfarm,,France,Decarbonizing rice farming,['various']
carbonpool,,Switzerland,Carbon credit insurance,"[' vorwerk ventures', 'heartcore capital']"
carbyon,,Netherlands,Direct air capture,['various']
carpecarbon,,Italy,Direct air capture tech,['various']
ceartas,,Ireland,Brand protection for content creators,['earlybird']
ceezer,,Germany,Carbon credit platform,['hv capital']
celonis,,Germany,Process mining software,['qia']
cemvision,,Sweden,Green cement,"[' backingminds', 'polar structure']"
cetoal,,United Kingdom,Predictive analytics to the maritime industry,['howden ventures']
chapsvision,,France,Data analysis platform,['qualium']
chapter 3,,Netherlands,Energy management platform,"['rubio impact ventures', ' capitalt']"
chargetrip,,Netherlands,Navigation platform for EVs,['hsbc asset mgmt']
chargex,https://chargex.com/,Germany,Charging solution for electric cars,['bayern kapital']
chooose,https://www.chooose.today/,Norway,Platform for high impact climate programs,['genzero']
circularise,,Netherlands,Product passports,['brightlands venture partners']
claims carbon,,Sweden,Carbon footprint for insurance sector,['venza']
cleannub,,Germany,Ocean cleanup,['integra partners']
cleanwatts,,Portugal,Energy management platform,['verdane']
clearly,,United Kingdom,Climate intelligence platform,"[' nine realms', 'pace ventures']"
climate x,,UK,Climate risk intelligence,['cv']
climatealigned,,UK,AI platform for end to end ESG compliance,"[' frontline ventures', 'pale blue dot']"
climatecamp,,Belgium,Emissions reduction platform,['expon capital']
climateview,,Sweden,Climate finance platform,['2050']
climatiq,,Germany,Climate emissions database,['singular']
co2al,,France,End to end sustainability management,"['bcg', ' unusual ventures', ' partech']"
cognitive design systems,,France,Additive manufacturing,['various']
companion.energy,,Belgium,Managing industrial energy flexibility,"['ubermorgen ventures', ' cavalry ventures']"
concrete4change,,United Kingdom,CO2 capturing tech for concrete,"[' counteract', 'zacua ventures']"
connect earth,,UK,Carbon footprint monitoring platform,['gresham house ventures']
connected energy,https://www.connectedenergy.com/,UK,Second life battery storage,['various']
constellr,https://constellr.com/,Germany,Water stress monitoring for agriculture,"['squared', ' lakestar']"
coolset,,Netherlands,Automated decarbonisation platform,['global cleantech capital']
copenhagen atomics,https://copenhagenatomics.com/,Denmark,Mass-manufacturable molten salt reactors,[]
cordulus,,Denmark,"AI-driven, hyperlocal weather forecasting",['various']
core power,,UK,Floating nuclear power plant,['various']
corpower ocean,,Sweden,Wave energy solution,['nordicninja vc']
ctres,,Germany,Supply chain emissions platform,['htgf']
cumul.io,https://www.cumul.io/,Belgium,Embedded BI platform for SaaS companies,[]
cur8 earth,,UK,Provider of carbon removals portfolio,"[' gv', 'capitalt']"
customcells,,Germany,Energy storage systems,['porsche ventures']
cyclize,,Germany,Enabling a carbon circular economy,['uvc partners']
cyib,https://cylib.de/,Germany,Next-gen battery recycling,"[' porsche ventures', 'world fund', 'speedinvest']"
daato,,Germany,ESG management platform,['kopa ventures']
dance,,Germany,Electric mobility subscription,['various']
datadome,,France,Bot protection solution for mobile apps,['infravia growth']
dataform lab,,United Kingdom,Automating offsite construction,['marathon venture capital']
datamaran,,UK,ESG risk management,['fortive']
dataops.live,,UK,Automating data operations,['notion']
dayrize,https://dayrize.com/,UK,Sustainability impact assessment tool for retailers,['gresham house']
deckmatch,,Norway,AI tool to evaluate pitch decks for VCs,"[' skyfall ventures', 'alliance vc']"
deedster,,Sweden,Digital climate action tools for SMEs,['wellstreet']
deepdots,,Denmark,AI-powered customer feedback analysis,['dawn capital']
deepl,,Germany,Climate Tech,['index ventures']
delta green,,Czech Republic,Renewable energy grid integration,['tilia impact ventures']
deltia,https://www.deltia.com/,Germany,Computer vision-led shop-floor management,['cavalry ventures']
dema.ai,,Sweden,Real-time analytics for e-commerce brands,['j12 ventures']
dendra systems,https://monta.app/,United Kingdom,Tech-driven ecological restoration,energize ventures
depoly,,Switzerland,Chemical recycling platform,"[' wingman venture', 'basf vc', 'various']"
dessia,,France,Automating engineering processes,['matterwave ventures']
devterenergy,,Netherlands,Energy forecasting platform,"[' etf partners', 'astelia']"
deycle,,Spain,ESG data management,['samaipata']
dinmo,https://dinmo.io/,France,Composable CDP offering,['468 capital']
dioxycle,,France,Carbon dioxide conversion tech,"[' breakthrough energy', 'lowercarbon']"
doubleword,,UK,Self-hosted inference platform for enterprise,['dawn capital']
downforce technologies,https://monta.app/,United Kingdom,Measuring carbon stored in soil,energize ventures
duramon,,Switzerland,Structural Health Corrosion Monitoring,['qbit capital']
echandia,,Sweden,Maritime battery systems,['klima']
ecoplanet,https://ecoplanet.com/,Germany,Energy orchestration layer for businesses,['eqt ventures']
ecotree,https://ecotree.green/,France,Carbon sinks,['various']
ecovadis,,France,ESG rating provider,"['astorg', ' beyondnetzero']"
ecoworks,,Germany,Automate design process for retrofitting housing stock,['various']
eeden,,Germany,Textile recycling platform,['forbion']
effy,,France,Home energy renovations,['felix capital']
eilla ai,https://eilla.ai/,United Kingdom,AI driven financial analysis platform,['eleven ventures']
electricity maps,https://electricitymaps.com/,Denmark,Actionable electricity carbon data,"['transition', ' revent']"
eleport,,Estonia,EV infrastructure developer,['various']
elestor,,Netherlands,Large-scale electricity storage,['equinor ventures']
elise,,Germany,Connected engineering platform,['spark capital']
elum,,France,Energy management solutions,['energize capital']
elyos energy,,UK,Energy optimisation for commercial buildings,['rebel fund']
elyse energy,,France,Sustainable fuels and low-carbon feedstock,['various']
embeddable,,United Kingdom,Embedded data analytics,['openocean']
ember,,United Kingdom,Electric bus network,"['invent capital', ' 2150', ' aenu']"
embotech,,Switzerland,Autonomous driving solutions for logistics,"['emerald technology ventures', ' yttrium']"
