Unnamed: 0,id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
0,df037313-77bb-4329-a60b-ac5904b392f3,100ms,Live video infrastructure startup,100ms.live,"San Francisco, CA","[' matrix partners india', ' localglobe', ' strive.vc', ' accel', 'alpha wave incubation']",,,,,,False,280532061
1,ca38d2f4-157d-4146-a67e-9df8d5e3d72b,11x,AI autonomous digital workers developer,https://www.11x.com/,"San Francisco, CA","[' sv angel', ' quiet capital', 'benchmark', ' abstract ventures']",,,,,,False,Not in Affinity
2,3d73bd59-77ff-4b15-9fa3-e2209e6ec0ce,1build,Construction-cost estimation software maker,1build.com,"Mountain View, California","['Greycroft Capital', 'Initialized Capital']",14.0,7.69,Series A,19500000.0,,True,224779466
3,32957090-4dfe-4904-a56d-ccdf18b362e9,1KOMMA5°,"Solar, energy storage, EV charging, and heat pumps for homeowners",1komma5grad.com,"Hamburg, Germany","['BNP Paribas', 'Deutsche Bank', 'G2 Venture Partners', '2150', 'LBBW']",620.0,31.36,Series B,52500000.0,,True,283677000
4,a5dcbe42-0f73-4697-b9bf-ad1b08e1637b,1mt nation,Developer of nature-based carbon removal projects,,"Tallinn, Estonia","[' warmeston', 'margus kohava']",,,,,,False,Not in Affinity
5,2c529bc6-e779-421a-b3af-01b3f6cb32ea,1PointFive,Direct Air Capture (DAC) developer,1pointfive.com,"Houston, TX",['us department of energy’s office of clean energy demonstrations'],,,,,,False,268252178
6,a90d5af0-77c3-4a67-8518-e6bdf5d27d94,1s1 Energy,Developing green hydrogen production,1s1energy.com,"Portola Valley, CA","[' elohim partners', ' asiri', ' ecoa capital', 'ampol', ' autostrada', 'faber', 'bdc capital', ' aquarius capital management', ' imm investment', 'faber ventures', 'gm ventures', 'general motors', 'the global emerging markets group', ' aligned climate capital', ' gibson lane', 'park west', ' csn inova ventures', 'ares management']",,,,,,False,279261170
7,4a7accf2-0d3a-432c-8cd7-ba3333204696,2150,Urban tech solutions fund,2150.tech,"London, U.K.",[],1.0,0.0,Investment Fund,157768000.0,"['Christian Hernandez Gallardo (Co-founder & Partner): https://linkedin.com/in/christianhern', 'Christian Jølck (Co-founder and Partner): https://linkedin.com/in/christianjolck']",True,224626100
8,01216c3e-14dd-4b36-b7d4-81fce725d8e9,24M Technologies,Revolutionizing the lithium-ion cell manufacturing process,24-m.com,"Cambridge, Massachusetts","['Fujifilm Corporation', 'ITOCHU Corporation', 'Kyocera Corporation', 'North Bridge Venture Partners', 'Kyocera Group', 'Global Power Synergy Public Company Ltd (GPSC)', 'Mirai Creation Fund II', 'Dai Nippon Printing Company (DNP)', 'Mitsui O.S.K. Lines', 'Lucas TVS', 'ASAHI Kasei', 'Nuovo+']",153.0,-22.34,Late Stage,87000000.0,"['Yet-Ming Chiang (Co-Founder and Chief Scientist): https://linkedin.com/in/yet-ming-chiang-74aa3', 'W. Craig Carter (Co Founder): https://linkedin.com/in/w-craig-carter-42808524']",True,1555826
9,edaa870d-551f-4a8c-bd20-a14bb3a7341d,24M Technologies,Lithium ion cell manufacturer,24-m.com,"Cambridge, Massachusetts","['Fujifilm Corporation', 'ITOCHU Corporation', 'Kyocera Corporation', 'North Bridge Venture Partners', 'Kyocera Group', 'Global Power Synergy Public Company Ltd (GPSC)', 'Mirai Creation Fund II', 'Dai Nippon Printing Company (DNP)', 'Mitsui O.S.K. Lines', 'Lucas TVS', 'ASAHI Kasei', 'Nuovo+']",153.0,-22.34,Late Stage,87000000.0,"['Yet-Ming Chiang (Co-Founder and Chief Scientist): https://linkedin.com/in/yet-ming-chiang-74aa3', 'W. Craig Carter (Co Founder): https://linkedin.com/in/w-craig-carter-42808524']",True,1555826
10,38af1a43-6956-4c88-a073-fe52657babda,257,AI-powered home energy management software,,"New York, New York",['f2 venture capital'],,,,,,False,Not in Affinity
11,d4899be4-5687-46ee-9e27-e89de9f345ce,280 Earth,Direct air capture plants,280.earth,"Palo Alto, California",Builders VC,15.0,25.0,Series B,50000000.0,,True,290584264
12,4851272b-17bb-42f1-bf7e-ea27a3cd42bc,3DEO,Additive metal manufacturing,3deo.co,Los Angeles,['mizuho bank'],,,,,,False,114272919
13,a0d7fa97-543f-4fa1-9bc2-0e1c57ad6da2,3E Nano,Energy and solar control coatings company,3enano.com,"Toronto, Canada",,,,,,,False,263185041
14,9ba5c0c0-3d25-4828-9a7a-f8241ab3d5e4,3V Infrastructure,Level 2 EV charging operator,3vinfrastructure.com,"New York, New York",Greenbacker Capital Management,11.0,,,40000000.0,,True,297884313
