company_uuid,name,deal_size,currency,series,date,investors,source
aef486c5-7666-49c1-a58b-a69ba33bd149,1kommas,232.0,USD,SERIES B,2023-06-26,G2VP,https://europeantech.substack.com/p/european-tech-weekly-week-25
cc3cb94d-c991-473b-b6c5-62935ca88b9e,= «xfarm,40.0,USD,SERIES C,2024-10-14,Partech,https://europeantech.substack.com/p/european-tech-weekly-week-41-2024
9b27387f-ead6-4149-8d8a-94807aa32a8a,abatable,15.0,USD,SERIES A,2023-04-17,Azora Capital,https://europeantech.substack.com/p/european-tech-weekly-week-15
1e3d95ca-2627-4b0d-b94e-2e1c982102dc,abbe-mobility,204.0,USD,GROWTH,2022-11-28,Various,https://europeantech.substack.com/p/european-tech-weekly-week-47
423399e1-e9bb-4501-a68b-0bb650781997,accure,16.0,USD,SERIES B,2025-02-17,Incharge Capital,https://europeantech.substack.com/p/european-tech-weekly-week-7-2025
96187819-af7f-4cf0-89d1-016cdfd0caa4,actility,7.0,USD,GROWTH,2023-12-11,Various,https://europeantech.substack.com/p/european-tech-weekly-week-49-d4a
fcfad555-57d7-4129-bdd2-801f73d01df6,aedifion,13.0,USD,SERIES A,2023-02-06,World Fund,https://europeantech.substack.com/p/european-tech-weekly-week-5
0513cc25-66fc-47c0-ae16-af82038ed6c8,aerones,30.0,USD,SERIES A,2023-01-23,"Lightrock, Haniel",https://europeantech.substack.com/p/european-tech-weekly-week-3
b744a9d1-d7bd-4737-b8d9-7bfc895f9c27,again,27.0,USD,SERIES A,2024-07-24,"GV, HV",https://europeantech.substack.com/p/european-tech-weekly-week-29-2024
b744a9d1-d7bd-4737-b8d9-7bfc895f9c27,again,10.0,USD,SEED,2023-12-04,"ACME, GV, Atlantic Labs",https://europeantech.substack.com/p/european-tech-weekly-week-48-abe
cbe9adc2-6e9e-4cd6-8b04-363c9a5b697b,agemia,38.0,USD,SERIES B,2024-12-16,Cathay Innovation,https://europeantech.substack.com/p/european-tech-weekly-week-50-2024
c9210b9f-3f3a-4cb2-b80b-d22f7ad8ac5a,agreena,49.0,USD,SERIES B,2023-04-03,HV Capital,https://europeantech.substack.com/p/european-tech-weekly-week-13
759b5489-108f-4d56-a3f6-f46ef9a92c4f,agricarbon,11.0,USD,SERIES A,2023-12-11,Shell Ventures,https://europeantech.substack.com/p/european-tech-weekly-week-49-d4a
71c20e6f-ed2a-4024-a08b-aaae3c1bb234,aily labs,21.0,USD,SERIES A,2023-08-28,Insight Partners,https://europeantech.substack.com/p/european-tech-weekly-week-34
ff8b34b6-46b0-4ff2-ad8a-522e32c0f2b1,aira,70.0,USD,SERIES B,2024-10-22,Various,https://europeantech.substack.com/p/european-tech-weekly-week-42-2024
b14cf865-1e18-4720-ab8a-daee66835a73,airforestry,11.0,USD,SEED,2024-10-14,Northzone,https://europeantech.substack.com/p/european-tech-weekly-week-41-2024
