id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
09e7d456-e9c7-4e22-9fe8-01c4485c5bf5,Fotokite,Autonomous tethered drones for firefighting,fotokite.com,"Zürich, Switzerland",,,,,,,False,1792754
10d4f6c7-7006-4ef4-8dc6-66a056b5a092,Found Energy Co,Hydrogen producer from scrap aluminum,found.energy,"Boston, Massachusetts","['J-Impact', 'Good Growth Capital', 'GiTV', 'Munich Re Ventures', 'the Autodesk Foundation', 'Massachusetts Clean Energy Center (MassCEC)', 'KOMPAS VC', 'Glenfield Partners LTD']",34.0,100.0,Seed,12000000.0,"['Peter Godart (Co-Founder, CEO): https://linkedin.com/in/petergodart', 'Gadi Ruschin (Co-Founder, CBO): https://linkedin.com/in/gadiruschin']",True,287712354
41943b33-b6bc-4ed5-9ccc-bfba8f486de0,Founderful,Invest in pre-seed startups,founderful.com,"Zürich, Switzerland",Not mentioned,67.0,24.0,Investment Fund,140000000.0,,True,294824717
fffe5a6c-b624-4fd8-bdfb-1147805a63ea,four growers,Harvesting robots developer,,,,,,,,,False,Not in Affinity
a366ebc6-d904-401a-b116-5c25354e23b8,Fourier,Modular hydrogen system producer,fourier.earth,"Palo Alto, California","['General Catalyst (Hemant Taneja)', 'Borusan Ventures', 'Positive Ventures', 'Paramark Ventures (Chunsoo Kim)', 'MCJ', 'Airbus Ventures', 'GSBackers']",16.0,0.0,Series A,18500000.0,"['Ali-Amir Aldan (Co-Founder): https://linkedin.com/in/ali-amir-aldan-a2b81b46', 'Siva Yellamraju (Co-Founder, CEO): https://linkedin.com/in/siva-yellamraju-a416b07']",True,289455871
30117179-3eb6-46ae-a54c-f693b4a3a87a,Fox Robotics,Autonomous forklift company,foxrobotics.com,"Austin, TX",,,,,,,False,258478832
e2996c3b-75aa-4de5-80f3-d06c73393b3f,Foxglove,Open-source robotics development platform,foxglove.dev,"San Francisco, California","['Amplify Partners', 'Eclipse Ventures']",42.0,5.0,Series A,15000000.0,"['Adrian Macneil (Co-Founder & CEO): https://linkedin.com/in/adrian-macneil-8259b659', 'Roman Shtylman (Co-Founder): https://linkedin.com/in/roman-shtylman-5b8462165']",True,280878049
c1b6259a-1540-4e78-aad1-b21819f0025c,fpr energy,'Concentrated Solar Thermal' technology,https://fprenergy.com/,,,,,,,,False,Not in Affinity
37780119-27ef-4871-8bf9-9bf5769c0795,Franklin Templeton Investments,Climate impact fund,franklintempleton.com,"San Mateo, CA",,1570.0,0.0,,,,True,1518499
598ecf39-7163-4f5e-a7f8-a07a70dfbc99,FranklinWH,Developer of home battery storage systems,franklinwh.com,"San Jose, CA",,,,,,,False,284328071
