id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
e96798af-1cfa-4ebd-bf13-0a2eb33769da,nuuve,Developer of electric vehicle-to-grid projects,,,,,,,,,False,
241ccb39-ebe7-4bae-9a4a-2b8bcfbeebfe,Nuvem9,Cloud-based business management software,nuvem9.co.uk,"São Paulo, Brazil",,,,,,,False,281197231.0
d7be1046-3364-48fe-9e7b-bcc50a30b5ef,Nuventura,Sustainable switchgear technology firm,nuventura.com,"Berlin, Germany",,,,,,,False,125885455.0
345ebe83-c7be-48f6-b8d4-ce3498443b6a,NuView,Earth observation company,nuviewmarketing.com,"Lake Nona, FL",U.S. Small Business Administration.,6.0,20.0,PPP Loan,150000.0,,True,262505536.0
c252d5fd-3763-4438-9cbc-65e912d512eb,Nuvocargo,Digital freight forwarder and customs broker,nuvocargo.com,"New York, NY",,,,,,,False,223142502.0
1a662061-06c0-4203-9b76-7a4826eab147,nyle systems,Heat pump water heater manufacturer,https://nylesystems.com/,,,,,,,,False,
d7c3806a-8268-4d98-9bcf-63d1aa5a8e54,Nyobolt,Developer of ultrafast battery chargers,nyobolt.com,UK,,,,,,,False,265124681.0
82236dad-9147-4a69-8071-dce36df13911,nzero,Carbon emissions management platform,https://www.nzero.com/,,,,,,,,False,
7a1c8c7f-e85c-4623-b536-1c2c284ab7cf,o9 Solutions,Supply chain planning SaaS platform,o9solutions.com,"Farmers Branch, Texas","['KKR', 'Generation Investment Management', 'General Atlantic', 'BeyondNetZero']",2933.0,0.45,Other,116000000.0,,True,1625192.0
25b1fb15-b022-4429-b655-d322bb473bcf,Oatly,Oat milk producer,oatly.com,Sweden,,,,,,,False,164005300.0
