id,name,tagline,location,domain
88f0c179-955e-4b58-9ef0-9355f0929a94,100ms,Live video infrastructure startup,"San Francisco, CA",https://100ms.live/
53675ec4-2344-4b9b-8e11-c267430a857a,1build,Construction-cost estimation software maker,"Los Angeles, CA",https://www.1build.com/
74fa40a1-8587-4903-b916-10b959ff8923,1komma5,Making products and infrastructure necessary for carbon neutral homes,Germany,https://1komma5.de/
f59f4d69-13d5-4a91-82fa-25beb87f5e23,1komma5°,Residential electrification products & services provider,"Hamburg, Germany",https://1komma5.de/
d780f9f7-7a0a-4333-8ce7-bbd5de5594aa,1mt nation,Developer of nature-based carbon removal projects,"Tallinn, Estonia",
8d0f2419-6cfd-4748-afbd-a04d607444b5,1pointfive,Direct Air Capture (DAC) developer,"Houston, TX",https://1pointfive.com/
6f5326e2-5b25-4bff-83c4-14c59e040510,1s1 energy,Green hydrogen production using boron materials,"Portola Valley, CA",https://www.1s1energy.com/
66fcbdd7-d4ae-4070-afe5-73f432ce30fc,2150,Urban tech solutions fund,"London, U.K.",
f11811de-8c51-4313-887b-c4a99114feb0,24m,Revolutionizing the lithium-ion cell manufacturing process,"Cambridge, MA",
feee7337-25f2-4a49-a900-8abed8957beb,24m technologies,Lithium ion cell manufacturer,"Cambridge, MA",
fa0ee1f6-0705-4792-a686-09b5add1da71,257,AI-powered residential energy platform,"New York City, USA",
40f3fb00-d466-48f8-98c6-4bd74f237fc9,280 earth,Direct air capture plants,"Mountain View, CA",
ee55c637-2194-4c94-a69a-4cbf97dc1e84,3deo,Additive metal manufacturing,Los Angeles,
89d9f254-5702-41ab-bf77-3b4034ca68bc,3e nano,Energy and solar control coatings company,"Toronto, Canada",https://www.3enano.com/
17be7cab-0448-4ca9-8dcd-54e5b488518c,3v infrastructure,"Install level-two EV chargers in apartment buildings, hotels, hospitals, and other multi-unit properties",New York,https://www.3vinfrastructure.com/
fcdbb138-e474-423a-a90c-09564e0a8e83,42watt,Retrofitting advisory platform,"Munich, Germany",
ce75a733-329e-4462-a948-442f3a92bb60,44.01,Accelerates rock mineralization for carbon removal,Oman,
23e00a82-30ac-4614-84d3-170c9a832b7b,4elements,Launch of new high-impact climate startups,"TK, France",
da418c24-8ee8-47c5-b13f-f42fd9c00e4b,4impact capital,Investment firm focused on climate software companies,"The Hague, Netherlands",
7d1fa862-736f-44b7-ae46-5f5d1e4fadcf,4m analytics,Subsurface infrastructure mapping startup,Israel,
