id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
966ba347-9099-475c-b7ce-be3edb06c57a,Kitepower,Developer of airborne wind energy systems,kitepower.nl,Netherlands,,,,,,,False,164738388
efa06482-dde2-496f-8de1-9e2a28defd8a,kkr,Investment firm,https://www.kkr.com/,,,,,,,,False,Not in Affinity
639e4d56-8267-4f62-8dae-160931e30151,kkr global climate fund,Climate infrastructure fund,,,,,,,,,False,Not in Affinity
dd02aa49-c5ed-4095-a827-492e53a306e1,Klima,Make software for regenerative agriculture,klima.com,Berlin,,,,,,,False,262970013
95058b2c-bd59-4e3d-aecd-74ec3c218651,kloopify,Sustainable procurement analytics platform,kloopify.com,"Pittsburgh, PA",,,,,,,False,282308113
11c5230c-eae5-4518-9321-d805a1d1c344,koa,Upcycled cocoa fruit products developer,,,,,,,,,False,Not in Affinity
10181c25-80ea-4d51-8103-0b0caa43b61b,KoBold Metals,Use AI to identify copper and other metal deposits,koboldmetals.com,"Berkeley, California","['T. Rowe Price', 'Canada Pension Plan Investment Board', 'BHP Group Ltd', 'Bond Capital', 'Apollo Projects']",204.0,16.57,Series B,192500000.0,"['Josh Goldman (Co-Founder and CFO/CTO): https://linkedin.com/in/josh-goldman-819b834', 'Kurt House (Chief Executive & Co-Founder): https://linkedin.com/in/kurtzenzhouse', 'Jeff Jurinak (Co-Founder and Chief Operating Officer): https://linkedin.com/in/jeff-jurinak-75ba2b2b']",True,223332834
fdb2cc15-c6ba-4ebc-9867-12717bc772c2,KODE Labs,Building optimization analytics platform,kodelabs.com,"Detroit, Michigan","['I Squared Capital', 'Maverix Private Equity', 'TELUS Ventures', 'other strategic backers']",211.0,18.54,Series B,30000000.0,"['Edi Demaj (Co-Founder): https://linkedin.com/in/edidemaj', 'Etrit Demaj (CEO): https://linkedin.com/in/etrit-demaj-7b2364b', 'Gentrit Gojani (Co-Founder & CTO): https://linkedin.com/in/gentritgojani']",True,225113953
8c5bb459-cff8-4bd6-a2d6-78257fcbecd2,kodiak,Autonomous freight truck company,https://kodiak.ai/,,,,,,,,False,Not in Affinity
1c387777-0523-4723-a360-256812ef8415,Kodiak Robotics,Autonomous truck company,kodiak.ai,"Mountain View, California","['Harpoon Ventures', 'Tusk Ventures', 'CRV', 'StepStone Group', 'Aliya Capital Partners', 'Battery Ventures', 'Walleye Capital', 'Lightspeed Venture Partners', 'BMW i Ventures', 'SIP Global Partners', 'Horizon Technology Finance', 'Muirwoods Ventures', 'Bridgestone Americas', 'Gopher Asset Management']",185.0,-1.07,Debt,30000000.0,Don Burnette (Co-Founder & CEO): https://linkedin.com/in/don-burnette-b5472743,True,152149790
3e2db52f-8677-4f20-a31a-0c9a06ffdc11,kofa,Electric motorcycles and battery swapping company,,,,,,,,,False,Not in Affinity
0de1c7d3-42fd-4c4d-a20d-0a1d82da661e,kojo,Materials management platform,,,,,,,,,False,Not in Affinity
15def563-83d7-4633-be2b-7b7e2671c4ea,Kokomodo,Cell-based cocoa and chocolate,thekokomodo.com,Israel,,,,,,,False,297067941
