id,name,tagline,domain,Location,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
eb90ab14-21a2-43b4-80be-dbf1a9b599cb,Boost Biomes,Agtech startup developing products to increase crop yields,boostbiomes.com,"San Francisco, CA",,,,,,,False,146842528
26d938cd-70da-4c88-a37a-d4ff231333a3,Booster,Mobile energy delivery platform,booster.com,"San Mateo, CA",,,,,,,False,1654791
5d427358-58cc-4e1d-9b3f-59b7ca146d44,Boox,Sustainable e-commerce infrastructure company,boox.it,"Petaluma, CA",,,,,,,False,1618612
71d6eb73-c9ae-4ef7-9be5-e30486dfdbf9,Boston Materials,Advanced materials for semiconductor manufacturing provider,bostonmaterials.co,"Billerica, MA",,,,,,,False,198241042
4755f47c-316e-4d4f-ba9c-777b8bf67c4a,Boston Metal,Startup seeking to lower the carbon footprint of metal production,bostonmetal.com,"Woburn, Massachusetts",195.0,16.77,Series C,20000000.0,Breakthrough Energy Ventures,Tadeu Carneiro (Chairman and Chief Executive Officer): https://linkedin.com/in/tadeu-carneiro-a454b41a9,True,219924821
de70eeb3-4bbf-484f-a72f-5c45babd7854,Bot Auto,Make autonomous trucks,bot.auto,"Houston, TX",,,,,,,False,298684098
16d8203b-2eff-4e2c-aabb-cc47a09ef138,bota bio,Biomanufacturing company,,,,,,,,,False,
f5a1e3d2-42be-4150-a36b-43a12e4ec200,bounce,Operator of electric and gasoline scooters,,,,,,,,,False,Not in Affinity
7b5cb588-fd79-4537-8931-c9fa2f45bfb9,bound4blue,Turnkey wind-assisted sails for maritime transport,https://bound4blue.com/,,,,,,,,False,Not in Affinity
571b7ef1-04b6-47d8-8042-ae6aedc80095,bounti,Autonomous AI products developer,https://www.bounti.ai/,,,,,,,,False,Not in Affinity
7d3ed5cf-15d5-4c22-afdc-f2d9506f8768,bovotica,Synbiotic for cattle methane reduction developer,,,,,,,,,False,Not in Affinity
dfa48aa6-28c4-4f34-b1f3-9fd991e44d6a,bower,App that rewards people when they recycle,,,,,,,,,False,Not in Affinity
8314aaed-a6f6-4e3c-9bdf-86b6ddf33601,bowery farming,Vertical farming company,,,,,,,,,False,Not in Affinity
1d444777-03dd-49cd-96e5-a9df0ff010d3,boxpower,Developer of rural solar microgrid projects,,,,,,,,,False,Not in Affinity
ad52b997-fc55-4a84-85db-14ec6a35d829,brainbox ai,Autonomous building startup optimizing energy consumption,https://brainboxai.com/,,,,,,,,False,Not in Affinity
8c84a3d1-e94a-4cfc-8aac-48a64688f2af,bramble energy,Hydrogen fuel cell startup,https://brambleenergy.com/,,,,,,,,False,Not in Affinity
97197912-341a-405b-9c84-986346ff1635,branch energy,"Software designed to make building electricity use less opaque, cleaner, and cheaper",https://www.branchenergy.com/,,,,,,,,False,Not in Affinity
d929751f-d148-47e2-9fed-65e8e90cab55,brasol,Solar developer and energy transition company,,,,,,,,,False,Not in Affinity
35f378cc-3183-4454-ab6f-3b8ed9f3f673,braya renewable fuels,Renewable fuels developer,,,,,,,,,False,Not in Affinity
6b50a5c7-7ce0-4442-bd58-aca3bee34cc6,breaking,Engineers microorganisms to degrade plastic waste,https://breaking.com/,,,,,,,,False,Not in Affinity
b84f8172-2680-4f5f-b7ed-a1c89ea1dfe0,breakthrough energy ventures,Fund targeting startups with deep decarbonization potential,https://www.breakthroughenergy.org/,,,,,,,,False,Not in Affinity
7924752d-b180-41d2-84d2-dc10af9d36b9,breathe battery technologies,Battery performance software provider,,,,,,,,,False,Not in Affinity
ea711fea-366d-46b8-bfe7-14e1d8f30276,breega,Invest in African seed-stage companies,,,,,,,,,False,Not in Affinity
8fe2fe32-58e1-4c2f-af67-3b1a267a0c83,breezometer,Air quality data provider,https://www.breezometer.com/,,,,,,,,False,Not in Affinity
474ca65f-9a37-401e-b882-4871fa3e14dc,brevel,Startup developing a microalgae-based protein,,,,,,,,,False,Not in Affinity
907cbad8-5b9b-42bb-a553-3998f9e6f335,brickeye,Digital IoT platform for construction sensors,https://www.brickeye.com/,,,,,,,,False,Not in Affinity
52c035fe-2154-4ecc-ad5c-458e4b06c550,bridgecrew,Maker of automated cloud security tooling aimed at engineers,,,,,,,,,False,Not in Affinity
47038037-e579-4f16-8310-1a6f018e6ab2,bridger photonics,Developing methane detection technology,https://bridgerphotonics.com/,,,,,,,,False,Not in Affinity
869d8eed-dafc-4f38-8d87-807c95396500,bright,Rooftop solar distributor,https://www.bright.com/,,,,,,,,False,Not in Affinity
5bca8b77-7882-4e46-9270-099edd4dff00,bright biotech,Cultured meat company,,,,,,,,,False,Not in Affinity
62553907-48ba-4372-868f-a5d3274781c7,bright machines,To make automated manufacturing systems for manufacturers of products like batteries,,,,,,,,,False,Not in Affinity
eb6ba186-0667-476f-8766-7e493686f533,bright power,Energy and water management platform,https://brightpower.com/,,,,,,,,False,Not in Affinity
2b87b292-751e-4c35-bf35-04658981aed5,brightai,Monitor and manage physical assets with AI and IoT,,,,,,,,,False,Not in Affinity
81d8f572-c9fa-4a96-a476-34bbcd9ad00c,brightband,AI-powered weather and climate forecasting tools,https://brightband.com/,,,,,,,,False,Not in Affinity
40d4f985-efa2-4ea7-aca6-7f2509d35b82,brightfarms,Indoor farming startup,https://www.brightfarms.com/,,,,,,,,False,Not in Affinity
abc064da-ef0d-471d-a148-549fc786f898,brightnight,Utility-scale renewables development and operations,,,,,,,,,False,Not in Affinity
965c965c-ecba-45f3-8116-14c19d9aa298,brightseed,Startup using AI to identify plant nutrients,https://www.brightseedbio.com/,,,,,,,,False,Not in Affinity
e5336db5-dd26-4641-98de-b49ff463995a,briink,Automate extracting ESG-related insights from documents,https://www.briink.com/,,,,,,,,False,Not in Affinity
1287898f-6c38-4d3a-9d59-c64e635c54eb,brill power,Battery management software platform,https://brillpower.com/,,,,,,,,False,Not in Affinity
e7519e1c-c851-46ae-be36-447d10436959,brimstone energy,Green cement company,,,,,,,,,False,Not in Affinity
4d2d5b14-badb-4996-bf68-635db9dd27c7,brineworks,Ocean-based carbon removal technology developer,,,,,,,,,False,Not in Affinity
2a8155f7-db75-4f69-b2c0-f32a9c3f183e,bringly,Sustainable last-mile delivery provider,https://bringly.nl/,,,,,,,,False,Not in Affinity
fc61666d-8507-40f9-9105-2824d6ecaa2f,brompton bicycle,Foldable bikes and e-bikes company,https://www.brompton.com/,,,,,,,,False,Not in Affinity
40b9f249-1083-4020-85c6-85676a504a3c,brookfield,Investment firm,,,,,,,,,False,Not in Affinity
1b764953-3525-490f-97f7-5e309d519e18,brookfield asset management,Investment firm,https://www.brookfield.com/,,,,,,,,False,Not in Affinity
7864fc3b-4673-4b31-a012-1bb79d173de7,brown foods,Company developing milk using mammalian cell culture technology,,,,,,,,,False,Not in Affinity
6f1ef72b-7d15-484d-9128-d9568d6adb88,brudeli,Electric truck startup,,,,,,,,,False,Not in Affinity
6b7683db-b0f7-4dff-8712-8b486f360f36,budderfly,Energy solutions marketplace,,,,,,,,,False,Not in Affinity
e4c1b98d-feae-4994-90e5-08ce80c7e085,build to zero,Industrial thermal energy storage company,,,,,,,,,False,Not in Affinity
99d72684-081f-4bc5-82fe-9a512f5492d2,buildforce,Connecting skilled tradespeople with contractors,,,,,,,,,False,Not in Affinity
39a367c9-5482-4244-984b-404f990bbed3,buildings iot,Maker of building systems management software,,,,,,,,,False,Not in Affinity
ece72306-ee66-4a23-bdc4-c6d8b5e4cb74,buildops,"Management platform for commercial contractors in HVAC, plumbing, and electrical industries",https://www.buildops.com/,,,,,,,,False,Not in Affinity
9cbce3c3-b7f8-4b3e-9998-9d1ccab280dc,buildots,A.I.-based construction management company,,,,,,,,,False,Not in Affinity
13905867-d26c-4359-a6d0-df5816ea239f,buildvision,Construction procurement platform,,,,,,,,,False,Not in Affinity
ef7a1b09-64f0-4d90-95e1-9dceb55ac971,built robotics,Automation technology solutions for the construction industry,,,,,,,,,False,Not in Affinity
eb05b4b7-a68c-40ce-bf0e-04f584724251,BukuKas,Digitizing small businesses,bukukas.co.id,Indonesia,,,,,,,False,262413693
c9c2778a-a977-4ddf-b92c-219072b7a9e7,"BurnBot,",Developer of mechanized vegetation management and wildfire prevention tech,burnbot.com,"South San Francisco, California",26.0,23.81,Series A,20000000.0,Skip Capital,"Dr. Waleed S, ""Lee"" Haddad (CTO and Co-Founder): https://linkedin.com/in/dr-waleed-s-lee-haddad-5109b14",True,288667105
