id,name,tagline,domain,Location,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
7250132c-3859-4dce-af65-6422f52bae81,100ms,Live video infrastructure startup,100ms.live,"San Francisco, CA",,,,,,,False,280532061
6c66002e-cc67-4b61-9cc3-b283b99ea655,1build,Construction-cost estimation software maker,1build.com,"Mountain View, California",14.0,7.69,Series A,19500000.0,Initialized Capital,,True,224779466
f341791c-aaa4-45be-86d7-b054541fca15,1KOMMA5°,Making products and infrastructure necessary for carbon neutral homes,1komma5grad.com,"Hamburg, Germany",620.0,31.36,Series B,52500000.0,LBBW,,True,283677000
96819f62-914b-4bca-bd4d-a16475ec913c,1KOMMA5°,Residential electrification products & services provider,1komma5grad.com,"Hamburg, Germany",620.0,31.36,Series B,52500000.0,LBBW,,True,283677000
308606c5-a893-4e10-81b7-c0c0a29df046,1mt nation,Developer of nature-based carbon removal projects,,"Tallinn, Estonia",,,,,,,False,
d4e14d83-73e6-40e9-a55c-9864768fbf1e,1PointFive,Direct Air Capture (DAC) developer,1pointfive.com,"Houston, TX",,,,,,,False,268252178
e00a5ce0-4078-4f58-a4e2-64df60b4de2a,1s1 Energy,Green hydrogen production using boron materials,1s1energy.com,"Portola Valley, CA",,,,,,,False,279261170
b3ccc421-12d2-4388-a1af-2280d5dc95e3,2150,Urban tech solutions fund,2150.tech,"London, U.K.",1.0,0.0,Investment Fund,157768000.0,,Christian Jølck (Co-founder and Partner): https://linkedin.com/in/christianjolck,True,224626100
2f50017e-77dd-445a-80cc-8f4c8c3bfdcc,24m,Revolutionizing the lithium-ion cell manufacturing process,,"Cambridge, MA",,,,,,,False,
246b799a-883c-480e-87c1-a1980a882d18,24M Technologies,Lithium ion cell manufacturer,24-m.com,"Cambridge, Massachusetts",153.0,-22.34,Late Stage,87000000.0,Nuovo+,W. Craig Carter (Co Founder): https://linkedin.com/in/w-craig-carter-42808524,True,1555826
f674c0e2-92e1-4168-a526-27c447738c77,257,AI-powered residential energy platform,257.co,"New York, New York",2.0,0.0,Seed,9200000.0,Otto Von Troschke,Tal Chalozin (CTO and Co-Founder): https://linkedin.com/in/talchalozin,True,291229871
db5a6a60-2222-49ca-b1d8-9a7044d3ab1f,280 Earth,Direct air capture plants,280.earth,"Palo Alto, California",15.0,25.0,Series B,50000000.0,Builders VC,,True,290584264
c029967c-6c9c-458d-8198-ce4e9c61d577,3DEO,Additive metal manufacturing,3deo.co,Los Angeles,,,,,,,False,114272919
b1e39217-f47a-45f4-91c0-1e5b09719dfc,3E Nano,Energy and solar control coatings company,3enano.com,"Toronto, Canada",,,,,,,False,263185041
17aa0985-9e68-4e9b-a50a-1829949e3c85,3V Infrastructure,"Install level-two EV chargers in apartment buildings, hotels, hospitals, and other multi-unit properties",3vinfrastructure.com,"New York, New York",11.0,,,40000000.0,Greenbacker Capital Management,,True,297884313
efd3b243-d056-4e2a-8db6-ad6a8a381db1,42watt,Retrofitting advisory platform,42watt.de,"Munich, Germany",38.0,15.15,Seed,,PropTech1 Ventures,Nina Weingarten (Founder Associate): https://linkedin.com/in/nina-weingarten,True,287971148
3a52639e-73af-48a9-b9b4-82d27124afb2,44.01,Accelerates rock mineralization for carbon removal,4401.earth,"London, United Kingdom",48.0,9.0,Series A,37000000.0,Alumni Ventures,Talal Hasan (Founder & Carbon General): https://linkedin.com/in/talal-hasan,True,278330982
fc2c3539-4fc8-4c65-a591-29460d1d47a8,4elements,Launch of new high-impact climate startups,4elements.media,"TK, France",,,,,,,False,187627355
0a71e07c-3af0-4ca7-94ee-ed0e947e24e9,4impact capital,Investment firm focused on climate software companies,,"The Hague, Netherlands",,,,,,,False,
657706f8-448c-441d-83fb-35d1e7904d27,4M Analytics,Subsurface infrastructure mapping startup,4manalytics.com,"Austin, Texas",106.0,-0.93,Series A,30000000.0,Nir Erez,Nir Cohen (Co-Founder): https://linkedin.com/in/nir-cohen-4997046b,True,224686696
9871021e-6dd1-432b-a5a4-9a772ad0d469,51tocarbonzero,Corporate net zero transition platform,51tocarbonzero.com,"London, England",,,,,,,False,286194309
7b4b4c0a-c3c0-4f8f-bed9-e1dc57b3cef5,5B,Solar power deployment company,5b.com.gt,"Sydney, Australia",,,,,,,False,279264488
34eb375f-1af5-497e-a1a2-86de76d43342,5B Australia,Modular solar manufacturer,5b.com.au,"Sydney, Australia",109.0,,Series A,8600000.0,The AES Corporation,Eden Tehan (Co-Founder): https://linkedin.com/in/eden-tehan-b34979102,True,222181321
f246ad37-1b09-4412-aab8-fe418a50f6e5,60hertz energy,Platform improving microgrids and backup generators,,"Anchorage, AK",,,,,,,False,
05e6542d-0c28-4df0-817b-60d3af98f4ae,6K,Developer of advanced microwave-based plasma technology,6kinc.com,"North Andover, MA",,,,,,,False,278518352
