id,name,domain,Location,LocationEmployees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Employees (Current)
88f0c179-955e-4b58-9ef0-9355f0929a94,100ms,https://100ms.live/,"San Francisco, CA",,,,,,,False,
53675ec4-2344-4b9b-8e11-c267430a857a,1build,https://www.1build.com/,"Los Angeles, CA",,,,,,,False,
283677000,1KOMMA5°,1komma5grad.com,"Hamburg, Germany",,31.36,Series B,52500000.0,LBBW,,True,620.0
d780f9f7-7a0a-4333-8ce7-bbd5de5594aa,1mt nation,,"Tallinn, Estonia",,,,,,,False,
268252178,1PointFive,1pointfive.com,"Houston, TX",,,,,,,False,
279261170,1s1 Energy,1s1energy.com,"Portola Valley, CA",,,,,,,False,
66fcbdd7-d4ae-4070-afe5-73f432ce30fc,2150,,"London, U.K.",,,,,,,False,
1555826,24M Technologies,24-m.com,"Cambridge, Massachusetts",,-22.34,Late Stage,87000000.0,Nuovo+,W. Craig Carter (Co Founder): https://linkedin.com/in/w-craig-carter-42808524,True,153.0
fa0ee1f6-0705-4792-a686-09b5add1da71,257,,"New York City, USA",,,,,,,False,
290584264,280 Earth,280.earth,"Palo Alto, California",,25.0,Series B,50000000.0,Builders VC,,True,15.0
ee55c637-2194-4c94-a69a-4cbf97dc1e84,3deo,,Los Angeles,,,,,,,False,
89d9f254-5702-41ab-bf77-3b4034ca68bc,3e nano,https://www.3enano.com/,"Toronto, Canada",,,,,,,False,
297884313,3V Infrastructure,3vinfrastructure.com,"New York, New York",,,,40000000.0,Greenbacker Capital Management,,True,11.0
287971148,42watt,42watt.de,"Munich, Germany",,15.15,Seed,,PropTech1 Ventures,Nina Weingarten (Founder Associate): https://linkedin.com/in/nina-weingarten,True,38.0
ce75a733-329e-4462-a948-442f3a92bb60,44.01,,Oman,,,,,,,False,
da418c24-8ee8-47c5-b13f-f42fd9c00e4b,4impact capital,,"The Hague, Netherlands",,,,,,,False,
7d1fa862-736f-44b7-ae46-5f5d1e4fadcf,4m analytics,,Israel,,,,,,,False,
286194309,51tocarbonzero,51tocarbonzero.com,"London, England",,,,,,,False,
222181321,5B Australia,5b.com.au,"Sydney, Australia",,,Series A,8600000.0,The AES Corporation,Eden Tehan (Co-Founder): https://linkedin.com/in/eden-tehan-b34979102,True,109.0
05c39eea-f6f5-49f4-830f-f5612c20900a,60hertz energy,,"Anchorage, AK",,,,,,,False,
9c228b64-311e-4214-be18-db68be824cf6,75f,https://www.75f.io/,"Minneapolis, MN",,,,,,,False,
3ae64c28-9110-4df8-85dc-41075eb6c3d6,75f inc.,,"Burnsville, MN",,,,,,,False,
299967428,7Analytics,7analytics.no,"Bergen, Norway",,25.0,Other,4320600.0,Obos VC,Helge Jørgensen (Co-founder and CEO at 7Analytics): https://linkedin.com/in/helge-j%C3%B8rgensen-bb734651,True,25.0
50bd1d04-9b18-464c-aeb4-b1892026a8b7,7bridges,https://www.7bridges.com/,"London, UK",,,,,,,False,
