name,deal_size,series,tagline,location,investors,domain,date,source
Bling Energy,$17M,Growth,Solar energy developer,"Lisbon, Portugal",BlueCrow Capital,https://blingenergy.pt/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
Disa Technologies,$30M,Series A,Sustainable mineral extraction technology provider,"Casper, WY","Evōk Innovations, Constellation Technology Ventures, Halliburton Labs, Valor Equity Partners, Veriten",https://www.disausa.com/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
Tanso,$14M,Series A,Emission management software platform,"Munich, Germany","Fortino Capital, henQ, Capnamic Ventures, UVC Partners",https://www.tanso.de/en,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
PeroCycle,$5M,Seed,Closed-loop steelmaking technology developer,"Cambridge, England","Anglo American, Cambridge Future Tech",https://www.perocycle.com/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
Bisly,$5M,Seed,Automated energy platform for buildings,"Tallinn, Estonia","2C Ventures, Aconterra, Pinorena Capital, SmartCap",https://www.bisly.com/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
LiORA,$3M,Seed,Soil remediation platform,"Calgary, Canada","BDC Capital, Conexus Venture Capital, PIC Investment Group, WTC Ventures",https://www.joinliora.com/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
HydrogenXT,$900M,,Clean hydrogen infrastructure developer,"Houston, TX",Kell Kapital Partners,https://www.hydrogenxt.com/about,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
Pulse Clean Energy,$292M,,Utility-scale battery storage assets developer and owner,"London, England","ABN AMRO, CIBC, Investec, NatWest, Nord/LB, Santander",https://pulsecleanenergy.com/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
Endua,$4M,Grant,Modular electrolyzer developer,"Brisbane, Australia","Australian Government - Department of Industry, Science and Resources",https://www.endua.com/,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
Stellar PV,$3M,Grant,Solar ingot and wafer manufacturer,"Townsville, Australia",Australian Renewable Energy Agency,,2025-08-11,https://www.ctvc.co/your-nycw-cheat-sheet-258/
